id	name	institution_id	photo	roles	expertise_en	expertise_nn	profile_url
kristian-sandbekk-norsted	Kristian Sandbekk Norsted	hiof	docs/assets/images/people/kristian-sandbekk-norsted.jpg	collection-management;curation	Anthropology; Sociology; Gender Studies; Privacy; Research Ethics	antropologi; sosiologi; kjønnsstudier; personvern; forskningsetikk	https://www.hiof.no/om/organisasjon/administrasjonen/forskningsavdelingen/biblioteket/personer/tekn-adm-ansatte/kristisn/index.html
grete-gluppe	Grete Gluppe	hiof	docs/assets/images/people/ 	curation			
kent-andre-bersvendsen	Kent André Bersvendsen	hiof	docs/assets/images/people/ 	curation			
sondre-strandskog-arnesen	Sondre Strandskog Arnesen	hvl	docs/assets/images/people/ 	curation			
vidar-rongved	Vidar Rongved	hvl	docs/assets/images/people/ 	curation			
mahmood-khosrowjerdi	Mahmood Khosrowjerdi	inn	docs/assets/images/people/mahmood-khosrowjerdi.png	collection-management;curation	Library And Information Science	bibliotek og informasjonsvitenskap	https://www.inn.no/english/find-an-employee/mahmood-khosrowjerdi.html
inger-beate-nylund	Inger Beate Nylund	inn	docs/assets/images/people/inger-beate-nylund.jpg	curation	Library And Information Science	bibliotek- og informasjonsvitenskap	https://www.inn.no/finn-en-ansatt/inger-nylund.html
henrik-holtvedt-andersen	Henrik Holtvedt Andersen	mf	docs/assets/images/people/henrik-holtvedt-andersen.jpg	collection-management;curation	Library And Information Science; Religion And Society	bibliotek og informasjonsvitenskap; religion og samfunnsvitenskap	https://mf.no/ansatte/henrik-holtvedt-andersen
rune-keisuke-kosaka	Rune Keisuke Kosaka	mf	docs/assets/images/people/ 	curation			
hanne-tvete	Hanne Tvete	nibio	docs/assets/images/people/ 	collection-management;curation	Library And Information Science; Information Systems; Knowledge Management; Open Research	bibliotek- og informasjonsvitenskap; informasjonssystemer; kunnskapsforvaltning; åpen forskning	https://www.nibio.no/ansatte/hanne-tvete?locationfilter=true
neth-long-prum	Neth Long Prum	nibio	docs/assets/images/people/ 	curation			
sara-ellen-gaup	Sara Ellen Gaup	nibio	docs/assets/images/people/ 	curation			
tone-person	Tone Person	nibio	docs/assets/images/people/ 	curation			
